龙庭华府,蔡甸/蔡甸城区/汉阳大道与汉江路交汇处,户型：3室建面 125㎡,价格待定,未知
人民武汉国际汽车城,蔡甸/蔡甸其它/东风大道延长线与福康路交汇处,,17000,未知
中国健康谷,蔡甸/中法生态城/汉阳大道与五贤路交汇处,,20000,未知
知音半岛,蔡甸/中法生态城/知音湖南岸后官湖北岸,户型：5室/6室建面 241-271㎡,23000,总价500万/套
楼盘名称,位置信息,户型,单价,总价
武汉深鸿润国际文化科技城,蔡甸/蔡甸城区/凤凰山经济开发区五贤北路二号,,6500,未知
碧桂园忆西湖,蔡甸/蔡甸其它/玉贤路,户型：3室/5室建面 118-218㎡,12000,总价142万/套
金地中法仟佰汇,蔡甸/蔡甸城区/汉阳大道与五贤北路交汇处,户型：1室建面 46㎡,9500,总价31万/套
中国健康谷,蔡甸/中法生态城/汉阳大道与五贤路交汇处,户型：2室/3室建面 101-131㎡,11760,总价119万/套
依山龙郡,蔡甸/蔡甸城区/莲花湖大道222号,,9300,总价133万/套
越秀逸境,蔡甸/后官湖/全力一路与后官湖南路交会处,户型：3室/4室建面 110-162㎡,12500,总价140万/套
玉金山墅,蔡甸/蔡甸其它/索河镇金龙水寨,户型：2室/4室/5室/6室/7室建面 121-184㎡,18000,总价218万/套
越秀翰悦府,蔡甸/蔡甸城区/莲花湖大道与蔡姚路交汇处,户型：3室建面 98-128㎡,9000,总价88万/套
泰禾知音湖院子,蔡甸/后官湖/知音湖大道泰禾知音湖院子,户型：4室建面 147-170㎡,13600,总价200万/套
世茂龙湾八期,蔡甸/后官湖/天鹅湖大道世茂龙湾八期,,18500,未知
楼盘名称,位置信息,户型,单价,总价
金地中核格林格林,蔡甸/蔡甸城区/新天大道与中核三路交汇处,户型：3室建面 106-127㎡,10836,总价107万/套
光明府,蔡甸/蔡甸其它/九康大道与常禄大街交汇处,户型：3室建面 91-120㎡,9300,总价95万/套
碧桂园学府壹号,蔡甸/蔡甸城区/蔡甸大街180号,户型：1室/2室建面 35-105㎡,6600,总价24万/套
交投逸景天宸,蔡甸/蔡甸其它/常福大道与云龙三路交汇处,户型：3室建面 104-123㎡,价格待定,未知
越秀博悦府,蔡甸/蔡甸城区/蔡甸大街以北，幸福路中学旁，原武汉长江钢丝绳厂,户型：3室建面 113-123㎡,9060,总价102万/套
中海尚璟,蔡甸/蔡甸城区/蔡甸区莲花湖大道与文兴路交汇处,户型：3室/4室建面 99-132㎡,9850,总价92万/套
中国铁建知语城,蔡甸/蔡甸城区/临嶂大道与成功大道交汇处,户型：3室建面 107-127㎡,9426,总价101万/套
花博汇桃李春风,蔡甸/后官湖/知音湖大道花博汇旁,户型：3室/4室建面 90-205㎡,32000,总价288万/套
汉津阳光城,蔡甸/蔡甸其它/奓山街千子山大道与常欢大道交汇处,户型：3室建面 100-115㎡,7887,总价78万/套
金地中法仟佰汇,蔡甸/蔡甸城区/汉阳大道与五贤北路交汇处（欧尚超市旁）,,18000,总价168万/套
楼盘名称,位置信息,户型,单价,总价
中粮祥云地铁小镇,蔡甸/蔡甸城区/蔡甸大街与西环路交叉口以西（地铁4号线新庙村站100米以内）,户型：3室建面 95-117㎡,11624,总价109万/套
中建中法之星,蔡甸/后官湖/新天大道4号线新农站B出口直行200米,户型：3室建面 92-129㎡,9700,总价87万/套
武地城开恒瑞欣园,蔡甸/蔡甸其它/奓山街白鹤泉大街与双丰三路交汇处,户型：3室建面 99-117㎡,8005,总价79万/套
金地朗悦,蔡甸/后官湖/汉阳大道与知音湖大道交汇处（4号线知音站B出口东行400米）,户型：3室建面 95-125㎡,12000,总价150万/套
印湖云著,蔡甸/后官湖/后官湖大道与枫树三路交叉路口,户型：3室/4室建面 97-134㎡,15345,总价149万/套
三远大爱城,蔡甸/蔡甸城区/蔡甸大街与一中东路交汇处（九坤翰林苑正对面）,,价格待定,未知
金地朗悦,蔡甸/后官湖/汉阳大道与知音湖大道交汇处（地铁4号线知音湖站B出口东行400米）,户型：4室建面 128-143㎡,15000,总价193万/套
蓝光雍锦香榭,蔡甸/蔡甸城区/新天大道凤凰路与腾飞路交汇处,,价格待定,未知
世茂龙湾八期,蔡甸/后官湖/天鹅湖大道世茂龙湾八期,户型：3室建面 95-123㎡,9000,未知
西山林语,蔡甸/中法生态城/汉阳大道西山林语,户型：1室/2室建面 35-48㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
常福国际商务广场,蔡甸/蔡甸其它/常福工业园常兴路与318国道交汇处（205公交站南）,户型：3室建面 117㎡,价格待定,未知
常福国际商务广场,蔡甸/蔡甸其它/常福工业园常兴路与318国道交汇处（205公交站南）,,价格待定,未知
大拇指广场,蔡甸/蔡甸城区/汉阳大街大拇指广场,户型：3室建面 67㎡,价格待定,未知
大拇指广场,蔡甸/蔡甸城区/汉阳大街大拇指广场,户型：2室/3室建面 40-117㎡,价格待定,未知
天下峰景,蔡甸/蔡甸城区/工农路（庆龄幼儿园旁）,,价格待定,未知
中国健康谷,蔡甸/中法生态城/汉阳大道与五贤路交汇处,户型：1室建面 44㎡,8700,总价35万/套
汉水新城中法印象,蔡甸/蔡甸城区/汤家台特1号,户型：3室/4室建面 115-138㎡,8300,总价95万/套
碧桂园学府壹号,蔡甸/蔡甸城区/蔡甸大街西端（汉阳一中对面）,,价格待定,未知
龙台二期桃源,蔡甸/后官湖/后官湖大道枫树一路龙台二期桃源,,22000,总价60万/套
世茂龙湾四期,蔡甸/后官湖/知音湖大道世茂龙湾四期,,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
三和剑桥城,蔡甸/蔡甸城区/蔡甸大街和西环路交汇处,户型：2室/3室/4室建面 83-153㎡,9070,总价138万/套
听涛观海二期,蔡甸/后官湖/后官湖大道与枫树一路交汇处,,价格待定,未知
中城上品,蔡甸/蔡甸城区/汉江路与博奇路交汇处,,价格待定,未知
天元四季花城,蔡甸/中法生态城/汉阳大道中际天元大厦,,价格待定,未知
杰翔运铎嘉园,蔡甸/蔡甸城区/汉阳大街龚家岭公交站旁,户型：3室/4室建面 113-130㎡,价格待定,未知
学府丽城二期,蔡甸/中法生态城/江大5号门,,价格待定,未知
天下左岸春天,蔡甸/蔡甸城区/同心路(同心广场对面),,价格待定,未知
富强都市乾元,蔡甸/蔡甸城区/汉阳一中公交站斜对面300米,,价格待定,未知
湖墅观止,蔡甸/中法生态城/天鹅湖大道6-9号,户型：5室/6室建面 200-280㎡,价格待定,未知
中冶枫树湾,蔡甸/后官湖/后官湖大道与枫树四路交汇处,,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
学府丽城二期,蔡甸/中法生态城/江大5号门,,价格待定,未知
听涛观海龙台,蔡甸/后官湖/后官湖大道与枫树一路交汇处,,价格待定,未知
新福茂中央广场,蔡甸/蔡甸城区/汉 阳大道与新福路交汇处,,价格待定,未知
福集华府,蔡甸/后官湖/大集街福集华府,户型：2室/3室建面 88-122㎡,价格待定,未知
恒瑞上城,蔡甸/蔡甸城区/莲花湖大道与文兴路交汇处,户型：3室/4室建面 124-139㎡,价格待定,未知
碧桂园领誉,蔡甸/蔡甸其它/车站北路碧桂园领誉,,价格待定,未知
光华御江湾,蔡甸/蔡甸城区/工农路光华御江湾,户型：3室/4室建面 116-133㎡,8400,未知
世茂龙湾五期,蔡甸/后官湖/知音湖大道特8号,户型：5室建面 235㎡,21000,未知
中海尚城,蔡甸/蔡甸城区/莲花湖大道中海尚城,,价格待定,未知
颐禾郡,蔡甸/蔡甸其它/318国道颐禾郡,户型：3室建面 95-118㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
金桥普林斯顿,蔡甸/蔡甸其它/博艺路金桥普林斯顿,,价格待定,未知
碧桂园麓湖郡,蔡甸/后官湖/枫树四路与枫树北路交叉口（开发区四中对面）,,价格待定,未知
经开官湖澜岸,蔡甸/后官湖/后官湖大道与枫树三路交汇约200米处,户型：2室/3室建面 84-117㎡,10000,总价84万/套
现代城雲庭,蔡甸/后官湖/后官湖大集街,,价格待定,未知
龙源映象,蔡甸/后官湖/东风大道法国村；王家湾大洋百货,,价格待定,未知
知音首府三期,蔡甸/蔡甸城区/汉阳大道红光站,,价格待定,未知
碧桂园知音豪庭,蔡甸/后官湖/天鹅湖大道和大全路交汇处（213公交终点站向西约50米）,户型：4室/5室建面 140-228㎡,价格待定,未知
中冶枫树湾,蔡甸/后官湖/后官湖大道与枫树四路交汇处,,价格待定,未知
碧荷花园,蔡甸/蔡甸城区/汉马路31号,,价格待定,未知
国龙鑫江莲郡,蔡甸/蔡甸城区/新福路国龙鑫江莲郡,户型：1室/3室建面 64-131㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
新福茂中央广场,蔡甸/蔡甸城区/汉 阳大道与新福路交汇处,,价格待定,未知
观湖园一期,蔡甸/后官湖/后官湖知音大道北段,,价格待定,未知
福晟滨江国际,蔡甸/蔡甸城区/茂林路9号,,价格待定,未知
江滩花园,蔡甸/蔡甸城区/蔡河街与五层街交汇处（江滩公园正对面）,,价格待定,未知
知音半岛,蔡甸/中法生态城/知音湖南岸后官湖北岸,,价格待定,未知
永辉茗筑,蔡甸/蔡甸城区/文昌街与影讯里交汇处（莲花湖畔）,,价格待定,未知
汉阳满庭春MOMA,蔡甸/后官湖/后官湖大道与枫树四路交汇处,户型：2室/3室/4室建面 79-111㎡,价格待定,未知
金地中法仟佰汇,蔡甸/蔡甸城区/汉阳大道与五贤北路交汇处,户型：3室/4室建面 107-165㎡,价格待定,未知
九坤翰林苑,蔡甸/蔡甸城区/蔡甸大街九坤翰林苑,户型：2室/4室建面 69-138㎡,价格待定,未知
凯德悦湖,蔡甸/后官湖/知音湖大道300号,户型：4室/6室建面 138-200㎡,9200,未知
楼盘名称,位置信息,户型,单价,总价
汉水阳湾,蔡甸/蔡甸城区/广场工农路与博奇路交汇处,户型：2室建面 85㎡,价格待定,未知
名流仕家,蔡甸/蔡甸城区/莲花湖大道,,价格待定,未知
西山林语,蔡甸/中法生态城/汉阳大道西山林语,户型：1室建面 36㎡,价格待定,未知
国创青云,蔡甸/后官湖/天鹅湖大道,户型：2室/3室/4室建面 83-141㎡,价格待定,未知
丝宝·叠翠园二期,蔡甸/后官湖/后官湖大道丝宝第三街,户型：1室/2室建面 73-92㎡,价格待定,未知
沁园首府,蔡甸/蔡甸城区/莲花大道与茂盛路交汇处,户型：2室/3室/4室建面 90-138㎡,价格待定,未知
正阳大悦城,蔡甸/蔡甸城区/文兴路正阳大悦城,,价格待定,未知
绿地美湖,蔡甸/后官湖/鹅湖大道北知音湖畔,,价格待定,未知
世纪万通漫谷,蔡甸/中法生态城/经济开发区天鹅湖大道,户型：2室/3室建面 82-109㎡,价格待定,未知
景天苑,蔡甸/蔡甸城区/树藩大道与汉马路交汇处,户型：2室/3室建面 101-122㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
听涛观海龙台,蔡甸/后官湖/后官湖大道与枫树一路交汇处,,价格待定,未知
绿地美湖二期,蔡甸/后官湖/知音湖大道绿地美湖二期,户型：5室/6室建面 282-293㎡,价格待定,未知
中海尚城,蔡甸/蔡甸城区/莲花湖大道中海尚城,,22000,未知
荷风雅居,蔡甸/蔡甸城区/工农路与汉阳大街交汇处,,价格待定,未知
碧桂园麓湖郡,蔡甸/后官湖/枫树四路与枫树北路交叉口,户型：4室建面 212㎡,24000,总价500万/套
龙台二期桃源,蔡甸/后官湖/后官湖大道枫树一路,,价格待定,未知
湖墅观止莱特城,蔡甸/中法生态城/天鹅湖大道6到9号,,价格待定,未知
海山幸福湾,蔡甸/中法生态城/袁家台（新农三官村附近）,户型：2室/3室建面 80-114㎡,价格待定,未知
誉天幸福海,蔡甸/中法生态城/天鹅湖大道博艺路,,价格待定,未知
枫景国际公寓,蔡甸/后官湖/东风大道与枫树三路交汇处,,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
绿地美湖二期,蔡甸/后官湖/知音湖大道绿地美湖二期,户型：3室/4室建面 95-135㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
观湖园二期,蔡甸/后官湖/知音湖大道特9号,户型：4室建面 117-142㎡,15500,总价186万/套
鑫聚温莎半岛,蔡甸/后官湖/天鹅湖大道与温莎半岛路交汇,户型：4室/7室/10室建面 385-552㎡,26000,总价1000万/套
人民武汉国际汽车城,蔡甸/蔡甸其它/东风大道延长线与福康路交汇处,户型：1室/2室建面 48-83㎡,7500,总价30万/套
三和名仕城,蔡甸/蔡甸城区/汤家台特1号,户型：2室/3室建面 83-120㎡,9500,总价79万/套
三和剑桥城,蔡甸/蔡甸城区/蔡甸大街和西环路交汇处,,18500,总价80万/套
武汉院子,蔡甸/蔡甸其它/东风大道以西小奓湖北岸,户型：4室/5室建面 88-182㎡,26000,总价240万/套
华中文谷知音盛棠,蔡甸/后官湖/知音湖大道与五贤路交汇处向西500米（地铁蔡甸线知音站B出口）,户型：3室/6室/7室建面 190-1141㎡,25000,总价475万/套
状元府,蔡甸/蔡甸城区/蔡甸大街与公园路交汇处,,9400,总价95万/套
花博汇漫漫城,蔡甸/蔡甸城区/中核世纪广场旁,户型：2室/3室建面 45-90㎡,8000,总价30万/套
朗诗西海岸,蔡甸/中法生态城/天鹅湖大道后官湖畔,户型：3室建面 139-153㎡,11000,总价153万/套
楼盘名称,位置信息,户型,单价,总价
南益名士公馆,蔡甸/后官湖/全力北路和枫树六路交汇处（距离后官湖约70米）,户型：3室/4室建面 122-142㎡,12500,总价152万/套
力高雍湖湾,蔡甸/后官湖/知音湖大道文岭村公交站旁,户型：3室建面 95-195㎡,25000,总价252万/套
世茂龙湾国风十期,蔡甸/后官湖/知音湖大道特8号,户型：2室建面 92-132㎡,18000,总价166万/套
奥山首府,蔡甸/蔡甸其它/黄星大道奥山首府,户型：3室/4室建面 115-141㎡,8500,总价98万/套
奥山首府,蔡甸/蔡甸其它/黄星大道奥山首府,户型：6室建面 140㎡,15500,总价217万/套
德信江南大院,蔡甸/蔡甸城区/莲花湖大道与公园路交汇处,户型：3室/4室建面 100-121㎡,11000,总价102万/套
正商书香华府,蔡甸/蔡甸城区/蔡甸街成功大道与茂兴路交会处,户型：3室建面 88-130㎡,11166,总价98万/套
世茂龙湾国风十一期,蔡甸/后官湖/知音湖大道世茂龙湾国风十一期,户型：2室/3室建面 91-141㎡,23000,总价219万/套
景瑞天赋半岛,蔡甸/后官湖/五贤路西50米后官湖湿地公园旁,户型：2室/4室/5室/6室建面 89-189㎡,30000,总价430万/套
荣盛华庭,蔡甸/蔡甸城区/成功大道与西环路交汇处,户型：3室建面 96-132㎡,9424,总价99万/套
楼盘名称,位置信息,户型,单价,总价
华润置地公园里,蔡甸/蔡甸其它/黄陵大道与官莲湖路交汇处,户型：3室建面 88-103㎡,8500,总价75万/套
世茂龙湾国风十二期,蔡甸/后官湖/知音湖大道特1号,户型：3室/4室建面 94-107㎡,20000,总价179万/套
景瑞清能江南悦,蔡甸/蔡甸城区/蔡甸大街4号线新庙村站（C2出口）,户型：3室建面 95-108㎡,9300,总价88万/套
三和剑桥城,蔡甸/蔡甸城区/蔡甸大街和西环路交汇处,户型：2室建面 51㎡,8000,总价44万/套
中建锦绣双城,蔡甸/蔡甸城区/蔡甸大街中建锦绣双城,户型：3室/4室建面 107-160㎡,10389,总价112万/套
中国核建锦城,蔡甸/蔡甸城区/汉阳大道中核世纪广场对面,户型：3室建面 100-180㎡,9040,总价108万/套
龙庭华府,蔡甸/蔡甸城区/汉阳大道与汉江路交汇处,户型：3室建面 125㎡,价格待定,未知
人民武汉国际汽车城,蔡甸/蔡甸其它/东风大道延长线与福康路交汇处,,17000,未知
中国健康谷,蔡甸/中法生态城/汉阳大道与五贤路交汇处,,20000,未知
知音半岛,蔡甸/中法生态城/知音湖南岸后官湖北岸,户型：5室/6室建面 241-271㎡,23000,总价500万/套
楼盘名称,位置信息,户型,单价,总价
武汉深鸿润国际文化科技城,蔡甸/蔡甸城区/凤凰山经济开发区五贤北路二号,,6500,未知
碧桂园忆西湖,蔡甸/蔡甸其它/玉贤路,户型：3室/5室建面 118-218㎡,12000,总价142万/套
金地中法仟佰汇,蔡甸/蔡甸城区/汉阳大道与五贤北路交汇处,户型：1室建面 46㎡,9500,总价31万/套
中国健康谷,蔡甸/中法生态城/汉阳大道与五贤路交汇处,户型：2室/3室建面 101-131㎡,11760,总价119万/套
依山龙郡,蔡甸/蔡甸城区/莲花湖大道222号,,9300,总价133万/套
越秀逸境,蔡甸/后官湖/全力一路与后官湖南路交会处,户型：3室/4室建面 110-162㎡,12500,总价140万/套
玉金山墅,蔡甸/蔡甸其它/索河镇金龙水寨,户型：2室/4室/5室/6室/7室建面 121-184㎡,18000,总价218万/套
越秀翰悦府,蔡甸/蔡甸城区/莲花湖大道与蔡姚路交汇处,户型：3室建面 98-128㎡,9000,总价88万/套
泰禾知音湖院子,蔡甸/后官湖/知音湖大道泰禾知音湖院子,户型：4室建面 147-170㎡,13600,总价200万/套
世茂龙湾八期,蔡甸/后官湖/天鹅湖大道世茂龙湾八期,,18500,未知
楼盘名称,位置信息,户型,单价,总价
金地中核格林格林,蔡甸/蔡甸城区/新天大道与中核三路交汇处,户型：3室建面 106-127㎡,10836,总价107万/套
光明府,蔡甸/蔡甸其它/九康大道与常禄大街交汇处,户型：3室建面 91-120㎡,9300,总价95万/套
碧桂园学府壹号,蔡甸/蔡甸城区/蔡甸大街180号,户型：1室/2室建面 35-105㎡,6600,总价24万/套
交投逸景天宸,蔡甸/蔡甸其它/常福大道与云龙三路交汇处,户型：3室建面 104-123㎡,价格待定,未知
越秀博悦府,蔡甸/蔡甸城区/蔡甸大街以北，幸福路中学旁，原武汉长江钢丝绳厂,户型：3室建面 113-123㎡,9060,总价102万/套
中海尚璟,蔡甸/蔡甸城区/蔡甸区莲花湖大道与文兴路交汇处,户型：3室/4室建面 99-132㎡,9850,总价92万/套
中国铁建知语城,蔡甸/蔡甸城区/临嶂大道与成功大道交汇处,户型：3室建面 107-127㎡,9426,总价101万/套
花博汇桃李春风,蔡甸/后官湖/知音湖大道花博汇旁,户型：3室/4室建面 90-205㎡,32000,总价288万/套
汉津阳光城,蔡甸/蔡甸其它/奓山街千子山大道与常欢大道交汇处,户型：3室建面 100-115㎡,7887,总价78万/套
金地中法仟佰汇,蔡甸/蔡甸城区/汉阳大道与五贤北路交汇处（欧尚超市旁）,,18000,总价168万/套
楼盘名称,位置信息,户型,单价,总价
中粮祥云地铁小镇,蔡甸/蔡甸城区/蔡甸大街与西环路交叉口以西（地铁4号线新庙村站100米以内）,户型：3室建面 95-117㎡,11624,总价109万/套
中建中法之星,蔡甸/后官湖/新天大道4号线新农站B出口直行200米,户型：3室建面 92-129㎡,9700,总价87万/套
武地城开恒瑞欣园,蔡甸/蔡甸其它/奓山街白鹤泉大街与双丰三路交汇处,户型：3室建面 99-117㎡,8005,总价79万/套
金地朗悦,蔡甸/后官湖/汉阳大道与知音湖大道交汇处（4号线知音站B出口东行400米）,户型：3室建面 95-125㎡,12000,总价150万/套
印湖云著,蔡甸/后官湖/后官湖大道与枫树三路交叉路口,户型：3室/4室建面 97-134㎡,15345,总价149万/套
三远大爱城,蔡甸/蔡甸城区/蔡甸大街与一中东路交汇处（九坤翰林苑正对面）,,价格待定,未知
金地朗悦,蔡甸/后官湖/汉阳大道与知音湖大道交汇处（地铁4号线知音湖站B出口东行400米）,户型：4室建面 128-143㎡,15000,总价193万/套
蓝光雍锦香榭,蔡甸/蔡甸城区/新天大道凤凰路与腾飞路交汇处,,价格待定,未知
世茂龙湾八期,蔡甸/后官湖/天鹅湖大道世茂龙湾八期,户型：3室建面 95-123㎡,9000,未知
西山林语,蔡甸/中法生态城/汉阳大道西山林语,户型：1室/2室建面 35-48㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
常福国际商务广场,蔡甸/蔡甸其它/常福工业园常兴路与318国道交汇处（205公交站南）,户型：3室建面 117㎡,价格待定,未知
常福国际商务广场,蔡甸/蔡甸其它/常福工业园常兴路与318国道交汇处（205公交站南）,,价格待定,未知
大拇指广场,蔡甸/蔡甸城区/汉阳大街大拇指广场,户型：3室建面 67㎡,价格待定,未知
大拇指广场,蔡甸/蔡甸城区/汉阳大街大拇指广场,户型：2室/3室建面 40-117㎡,价格待定,未知
天下峰景,蔡甸/蔡甸城区/工农路（庆龄幼儿园旁）,,价格待定,未知
中国健康谷,蔡甸/中法生态城/汉阳大道与五贤路交汇处,户型：1室建面 44㎡,8700,总价35万/套
汉水新城中法印象,蔡甸/蔡甸城区/汤家台特1号,户型：3室/4室建面 115-138㎡,8300,总价95万/套
碧桂园学府壹号,蔡甸/蔡甸城区/蔡甸大街西端（汉阳一中对面）,,价格待定,未知
龙台二期桃源,蔡甸/后官湖/后官湖大道枫树一路龙台二期桃源,,22000,总价60万/套
世茂龙湾四期,蔡甸/后官湖/知音湖大道世茂龙湾四期,,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
三和剑桥城,蔡甸/蔡甸城区/蔡甸大街和西环路交汇处,户型：2室/3室/4室建面 83-153㎡,9070,总价138万/套
听涛观海二期,蔡甸/后官湖/后官湖大道与枫树一路交汇处,,价格待定,未知
中城上品,蔡甸/蔡甸城区/汉江路与博奇路交汇处,,价格待定,未知
天元四季花城,蔡甸/中法生态城/汉阳大道中际天元大厦,,价格待定,未知
杰翔运铎嘉园,蔡甸/蔡甸城区/汉阳大街龚家岭公交站旁,户型：3室/4室建面 113-130㎡,价格待定,未知
学府丽城二期,蔡甸/中法生态城/江大5号门,,价格待定,未知
天下左岸春天,蔡甸/蔡甸城区/同心路(同心广场对面),,价格待定,未知
富强都市乾元,蔡甸/蔡甸城区/汉阳一中公交站斜对面300米,,价格待定,未知
湖墅观止,蔡甸/中法生态城/天鹅湖大道6-9号,户型：5室/6室建面 200-280㎡,价格待定,未知
中冶枫树湾,蔡甸/后官湖/后官湖大道与枫树四路交汇处,,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
学府丽城二期,蔡甸/中法生态城/江大5号门,,价格待定,未知
听涛观海龙台,蔡甸/后官湖/后官湖大道与枫树一路交汇处,,价格待定,未知
新福茂中央广场,蔡甸/蔡甸城区/汉 阳大道与新福路交汇处,,价格待定,未知
福集华府,蔡甸/后官湖/大集街福集华府,户型：2室/3室建面 88-122㎡,价格待定,未知
恒瑞上城,蔡甸/蔡甸城区/莲花湖大道与文兴路交汇处,户型：3室/4室建面 124-139㎡,价格待定,未知
碧桂园领誉,蔡甸/蔡甸其它/车站北路碧桂园领誉,,价格待定,未知
光华御江湾,蔡甸/蔡甸城区/工农路光华御江湾,户型：3室/4室建面 116-133㎡,8400,未知
世茂龙湾五期,蔡甸/后官湖/知音湖大道特8号,户型：5室建面 235㎡,21000,未知
中海尚城,蔡甸/蔡甸城区/莲花湖大道中海尚城,,价格待定,未知
颐禾郡,蔡甸/蔡甸其它/318国道颐禾郡,户型：3室建面 95-118㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
金桥普林斯顿,蔡甸/蔡甸其它/博艺路金桥普林斯顿,,价格待定,未知
碧桂园麓湖郡,蔡甸/后官湖/枫树四路与枫树北路交叉口（开发区四中对面）,,价格待定,未知
经开官湖澜岸,蔡甸/后官湖/后官湖大道与枫树三路交汇约200米处,户型：2室/3室建面 84-117㎡,10000,总价84万/套
现代城雲庭,蔡甸/后官湖/后官湖大集街,,价格待定,未知
龙源映象,蔡甸/后官湖/东风大道法国村；王家湾大洋百货,,价格待定,未知
知音首府三期,蔡甸/蔡甸城区/汉阳大道红光站,,价格待定,未知
碧桂园知音豪庭,蔡甸/后官湖/天鹅湖大道和大全路交汇处（213公交终点站向西约50米）,户型：4室/5室建面 140-228㎡,价格待定,未知
中冶枫树湾,蔡甸/后官湖/后官湖大道与枫树四路交汇处,,价格待定,未知
碧荷花园,蔡甸/蔡甸城区/汉马路31号,,价格待定,未知
国龙鑫江莲郡,蔡甸/蔡甸城区/新福路国龙鑫江莲郡,户型：1室/3室建面 64-131㎡,价格待定,未知
楼盘名称,位置信息,户型,单价,总价
新福茂中央广场,蔡甸/蔡甸城区/汉 阳大道与新福路交汇处,,价格待定,未知
观湖园一期,蔡甸/后官湖/后官湖知音大道北段,,价格待定,未知
福晟滨江国际,蔡甸/蔡甸城区/茂林路9号,,价格待定,未知
